Diet,P consumption,P Excretion,P Egestion,P to coprophagy
carnivore,0.1284606909802984,0.03848653516621577,0.06582583482258088,0.02657523264444674
corallivore,0.01501917141882628,0.004615269695608726,0.005563173704460442,0.0017915621308816415
detritivore,0.41059491030427997,0.05257102761322354,0.28110254391631717,0
herbivore,0.39634696880011394,0.033578981285355504,0.25175026147889434,6.212525690519097e-4
mixed invertivore,0.2019928386769867,0.02520896999724677,0.14012707889770418,0.021495783660171488
planktivore,0.01685282954754701,0.0025503939720035716,0.009019785568684864,0.0031620260168055193
