reef_zone,site_name,year,diet2,Fn,Fp,Wc,Wn,Wp,Ic,In,Ip,Sc,Sn,Sp,biomass,pflux_cop
backreef,Afareaitu,2004,1_detr,0.043319984876356826,3.880285024371727e-4,1.3933577405194706,0.10085149445766123,0.0064417034300998394,1.9221929198718262,0.14942201491175094,0.008618587081654413,0.5951688581904753,0.051134202743873425,0.008618587081654413,101.10670590363532,0
backreef,Afareaitu,2004,2_herb,0.005539898913557022,6.10721235037071e-5,0.04813660793193839,0.004199159514665889,5.948439575063573e-4,0.08267969996069141,0.010552869701843041,0.0010369688409127757,0.044369226974034934,0.0033861994898665587,0.001034494152530889,11.413502046333216,0
backreef,Afareaitu,2004,3_imix,0.007492710732846506,3.8869291283248993e-4,0.08270078971146803,0.008780385816495373,0.0017877833047417674,0.11661962663651056,0.017326439496938073,0.002610536413322308,0.10058721567155003,0.007279964903658025,0.0016310925038159644,19.73893676772078,0
backreef,Afareaitu,2004,4_cor,0.007196389559868068,5.707296931325665e-4,0.029105301991649228,0.0055290290889240465,8.006360510795597e-4,0.07910907860315791,0.013528908664604038,0.001801369163253394,0.06841429371496058,0.0057288562995106,0.001130258979609542,24.708691479650717,2.690018251612639e-4
backreef,Afareaitu,2004,5_plank,0.003062901962672833,2.253485707510536e-4,0.027166209082529157,0.002596801989599501,4.097163890206033e-4,0.034440652582431196,0.005848255573333313,7.413284455832503e-4,0.034440652582431196,0.0011681344098224478,2.9564047776540255e-4,4.364451821951352,1.429197985589436e-4
backreef,Afareaitu,2004,6_carn,0.0034153981753679602,3.6705118428250426e-4,0.015300406462614935,0.0022227450136943746,5.379369476637507e-4,0.028267184046846493,0.006224410276988183,0.0011609949804113181,0.028267184046846493,0.002147897164993252,5.44315085591717e-4,7.346757632419266,2.0812954282886046e-4
backreef,Afareaitu,2005,1_detr,0.014596715048664121,9.098290075011518e-5,0.48209701133866545,0.03411598193881049,0.0020077450389998437,0.6625651097121971,0.05030129458008958,0.0026623425917101833,0.1592169090614087,0.013866343559941992,0.0026623425917101833,23.932655621442375,0
backreef,Afareaitu,2005,2_herb,0.0056376084250368145,3.8787333949064196e-5,0.06179949834437821,0.005571674700665893,9.060380210110166e-4,0.10796743001428374,0.01222805543187024,0.0014073946471767802,0.0298200936958566,0.0032408384880316405,0.0014073946471767802,7.082281489074829,0
backreef,Afareaitu,2005,3_imix,0.011163642301461787,6.028456729762663e-4,0.12382550059140107,0.013298469640735954,0.002609737786198702,0.17810510686068973,0.02590771326753892,0.0038004978195979176,0.1428853157710799,0.010293855534343043,0.002343158051959038,29.67906866811223,0
backreef,Afareaitu,2005,4_cor,0.007762352800598659,6.120291109861891e-4,0.02815804201170417,0.004330948541477633,7.560729521674289e-4,0.0703740443530165,0.012464876900179825,0.001560392209185747,0.04704266785536592,0.0034601928935151837,8.894534711527827e-4,19.123276566130745,2.4921479845913376e-4
backreef,Afareaitu,2005,5_plank,0.002519824620305267,1.2652219511597956e-4,0.02408158921943158,0.002237507504675,3.677089963153682e-4,0.03006152002320641,0.005026240751920247,6.452607697598354e-4,0.029715179226117223,0.001103297194816575,3.968320040602355e-4,3.2560756601484186,1.2606446983560988e-4
backreef,Afareaitu,2005,6_carn,0.0063641855006582706,6.450020250615245e-4,0.031190202485637697,0.0043150435428627515,0.0010667487650905443,0.06045556438461208,0.011871555495431705,0.002195237940964169,0.052314261235231196,0.004722146194287326,0.0011603867585672977,15.610125477168058,3.2192968776574294e-4
backreef,Afareaitu,2006,1_detr,0.02867450701092466,2.3835805534522004e-4,0.9294877240683285,0.06677345740894766,0.0041542813124690985,1.2806452060792186,0.0987734332109597,0.005542720437522682,0.36204227811124257,0.032233370945557054,0.005542720437522682,62.01556857107276,0
backreef,Afareaitu,2006,2_herb,0.22920768880799375,0.0024728850222824955,3.3073711246729323,0.22380411576504472,0.026798324432507615,4.537060425522715,0.48492473703902395,0.044624539339326676,3.0185040171052764,0.1523697430520392,0.044516349219900796,478.73062278047377,0
backreef,Afareaitu,2006,3_imix,0.006262086448403672,2.5017042598383986e-4,0.07223015207686176,0.009173414652830007,0.0016625705237819847,0.10917805807018191,0.01684084346401658,0.0024296338860111564,0.09207968331488262,0.009565741739957109,0.0020220922249432017,23.651584166300005,0
backreef,Afareaitu,2006,4_cor,0.0023482436590772865,1.4592312314443592e-4,0.015198689927351655,0.002735088028468554,3.992659839549383e-4,0.03386381809554871,0.005287460116641281,6.509439388197209e-4,0.025081882226160177,0.002038231824391251,4.8371543829911457e-4,7.664393053496955,1.3302627846060306e-4
backreef,Afareaitu,2006,5_plank,0.006928232948535932,6.77350680848742e-4,0.0612023253884494,0.005586762770049113,9.241869032511122e-4,0.07564683359023847,0.012549863921978903,0.0016217758024808216,0.07564683359023847,0.0019510692924888827,1.8841851088883654e-4,9.993830957749484,3.168460199636845e-4
backreef,Afareaitu,2006,6_carn,0.007792660359665384,8.361256681713634e-4,0.030078905029903322,0.004075808474530516,0.0010785928649105245,0.06171909756558529,0.013084701461873478,0.002431159903806706,0.06153502966810882,0.004836547149573043,0.0010868458973091934,19.70250650459809,4.1909176167210897e-4
backreef,Afareaitu,2007,1_detr,0.02112038659472596,1.1907821803330631e-4,0.699720595254464,0.04969576809065157,0.0029650402967393956,0.9622320070502711,0.07333025621186812,0.003937866990745176,0.20497093900117638,0.018682092634564832,0.003937866990745176,31.30173951750532,0
backreef,Afareaitu,2007,2_herb,0.010029040382385541,9.536705484724554e-5,0.09442357726448461,0.008055931310631976,0.0011432181117873505,0.15830783993739259,0.01941780910762053,0.001920008526530941,0.07822513985142347,0.00539216651993393,0.0019148674374859969,17.349846288499595,0
backreef,Afareaitu,2007,3_imix,0.045049107994468866,6.176115976203063e-4,0.4135942091389393,0.04572033979500312,0.011496324962420174,0.6357342375050339,0.09939728826777695,0.015172174466366942,0.4833129932968708,0.04391145137804722,0.014459776824411994,91.76551379783359,0.0010091269015531064
backreef,Afareaitu,2007,4_cor,0.004843775475619302,2.3562227704191128e-4,0.018518924059838356,0.0031244842020520373,5.143398014161355e-4,0.05116401073826605,0.008708617676267332,0.0011522815669096527,0.03864074987296955,0.00331271277952091,9.441406077864148e-4,13.659761984396438,1.7083325261470507e-4
backreef,Afareaitu,2007,5_plank,0.0012866385834008278,4.8177501415238075e-5,0.012472257132451025,0.0011713650291216373,1.9173919964998439e-4,0.015663907273222956,0.002631304088473846,3.364665667640191e-4,0.015412386263219481,6.210462584098433e-4,2.4703375723431466e-4,1.6177511266192655,6.573540705500874e-5
backreef,Afareaitu,2007,6_carn,0.004065369206379772,5.85306239577438e-4,0.031548726357211815,0.004791090434786024,9.880104899571114e-4,0.0533877068425596,0.01008290876022641,0.0020291856050720343,0.04278273178502278,0.005579766404125084,0.0010757255851035889,12.743086268847199,2.5732362941984524e-4
backreef,Afareaitu,2008,1_detr,0.02866865392565091,1.6400865518129116e-4,0.9559982507589627,0.06745587955423281,0.003925657348788367,1.3132347446564148,0.09939515028987525,0.005198880938044003,0.28095123760156415,0.025227633870168305,0.005198880938044003,43.15257530893547,0
backreef,Afareaitu,2008,2_herb,0.19455396016079282,0.0014137374409008833,2.7926363832783636,0.18856973716265926,0.022597128736000567,3.8221876808895536,0.4132883874754379,0.03827012681925664,1.9277961912482053,0.10998721851786694,0.03827012681925664,280.19365393423845,0
backreef,Afareaitu,2008,3_imix,0.03360410060032802,8.579789989980388e-5,0.1416985897857722,0.013571724394573556,0.006053499736912006,0.2543482943760224,0.04833728062584134,0.0066140265781479595,0.05239962389470325,0.005032228746758319,0.006493920335145232,10.030809723170277,0.0014682338425196636
backreef,Afareaitu,2008,4_cor,0.001205310131849162,8.511884070493523e-5,0.005425365308405626,0.001292702983791015,1.5144360610486218e-4,0.018576959407069268,0.0028373460360470648,4.17208690834294e-4,0.018333877625215905,0.001762876425952257,3.330487025729741e-4,5.818430299758298,4.84035515431451e-5
backreef,Afareaitu,2008,5_plank,4.38776302213085e-4,1.0910199214355445e-5,0.00446149400651461,4.072608100924183e-4,6.7370876907376845e-05,0.005514461950803554,9.148531909368181e-4,1.1822333508857184e-4,0.005514461950803554,2.246682728418361e-4,1.0039359508531589e-4,0.5326501565495353,2.309726975622987e-5
backreef,Afareaitu,2008,6_carn,0.0053562475313862264,4.135525928794471e-4,0.01977795050304005,0.0025201749257128055,7.382165329895647e-4,0.04402544664721134,0.009130070593816132,0.0016854418957505575,0.04072701482961582,0.0044911496231498016,0.0010954682903007071,17.630511374140386,2.9344874253157965e-4
backreef,Afareaitu,2009,1_detr,0.00450920499947973,2.226396530084061e-5,0.15071933234836316,0.010634857460842771,6.189053736637468e-4,0.20703998545208616,0.015670290901856967,8.196373406805894e-4,0.039512866431614585,0.0036805701973281982,8.196373406805894e-4,5.85790699271817,0
backreef,Afareaitu,2009,2_herb,0.016708864109908236,4.396683951647399e-4,0.17832046236175625,0.01570615688277947,0.002314887377769529,0.3057548402328805,0.03471413652139442,0.0036759077522540108,0.2216407228802783,0.014661937597852004,0.0031927592387098625,52.9800525871518,0
backreef,Afareaitu,2009,3_imix,0.03808648534328185,1.7485106838481513e-4,0.16909332454802503,0.01614108209398004,0.006691156437367422,0.29655373354262987,0.05536699256832951,0.007365270303136104,0.07623700982594181,0.005411055649954788,0.006995929428517165,13.286514468075955,0.001594022868048225
backreef,Afareaitu,2009,4_cor,0.005536995509210397,1.468381171109994e-4,0.033935175443995304,0.005789155233947222,8.590457538173461e-4,0.07533773204212021,0.012228865589090497,0.0014794361285146772,0.042235259571012686,0.0040767040822450515,0.0013623048248024112,12.575406397664219,2.8368382524455456e-4
backreef,Afareaitu,2009,5_plank,2.3731205381561878e-4,3.947503768821084e-6,0.001470263807171989,2.3354580805943232e-4,3.170099087206355e-5,0.0025659730753640796,5.255558106188824e-4,5.7021258460342106e-5,0.002087508969163202,1.7238369383884968e-4,5.159258726902944e-5,0.3410695900760962,1.1021082040435114e-5
backreef,Afareaitu,2009,6_carn,0.013997262496358727,0.0017564144133934015,0.04606269943329461,0.00587410033831197,0.0016942745374215853,0.10159918249809682,0.021059436540866498,0.0038866271502431536,0.10110847598023144,0.01534284637395837,0.0014719332405874167,86.55159571567329,6.699714323120555e-4
