reef_zone,site_name,year,diet2,Fn,Fp,Wc,Wn,Wp,Ic,In,Ip,Sc,Sn,Sp,biomass,pflux_cop
backreef,Afareaitu,2004,1_detr,1.30525735508956,0.012603707454847764,39.67645362913792,2.8353158755060317,0.183161136282274,55.01369031825381,4.315470090252319,0.25539039309231665,19.064648866321576,1.5902625500797347,0.25539039309231665,3278.634143519577,0
backreef,Afareaitu,2004,2_herb,0.11615874184493788,0.0012905504938016791,1.0106945661042772,0.08897571984353833,0.012542023130331368,1.7455790525071806,0.22261590159913489,0.021941144994272643,0.9340679010695069,0.07262667679181073,0.021887917025579618,242.379786488299,0
backreef,Afareaitu,2004,3_imix,0.15483830244973734,0.007179453222034601,1.5941301526077594,0.16744965379868787,0.033062701757215006,2.2694704049873007,0.343821253754934,0.04907908732806928,1.894746870914596,0.13826782285274702,0.03151871686737782,371.5457994906089,0
backreef,Afareaitu,2004,4_cor,0.12435673472278357,0.00947901617012047,0.48750065680820215,0.09174776978128739,0.014004075885220419,1.3448539236887114,0.22992654439840815,0.03089402934623814,1.1738064066820337,0.09676836263309363,0.019276747188399213,424.8581328787874,0.004705878259005166
backreef,Afareaitu,2004,5_plank,0.04193311847636477,0.003436491285138464,0.38085891488164714,0.03747561541374978,0.005701602553335713,0.4854174824484762,0.08210986741169511,0.010655075286269603,0.4854174824484762,0.017103004591383083,0.00405522387492866,62.493183817661134,0.001998129166134078
backreef,Afareaitu,2004,6_carn,0.06650706413678903,0.007523198051675945,0.35603813972866605,0.05236930062857151,0.012373739711343756,0.5799002568334379,0.1313788450721514,0.02476216454382832,0.5799002568334379,0.04429818130063563,0.010950510050764336,122.80612124322522,0.004679001249357091
backreef,Afareaitu,2005,1_detr,0.43554564751129243,0.0029125869031927623,13.513776613772176,0.9351449266727693,0.054307588246319254,18.639210723957657,1.421797487699535,0.0753549188097017,5.0532826979376075,0.4180822732391809,0.0753549188097017,766.1073708160934,0
backreef,Afareaitu,2005,2_herb,0.12709925223332033,7.840896683365175e-4,1.4069139085677356,0.1283150651302978,0.02046304893281033,2.4710987611931947,0.28205212160627496,0.03248099992974873,0.6671167407730395,0.07768572918471009,0.03248099992974873,145.7405936370937,0
backreef,Afareaitu,2005,3_imix,0.24963751914489776,0.012999117056006761,2.7214182256371675,0.29520460598698034,0.05707944787550614,3.951317741892718,0.5807098483260756,0.08428210151035345,3.1351692084374627,0.2454097669340566,0.05453142100345616,689.0376248973153,0
backreef,Afareaitu,2005,4_cor,0.1506111475023904,0.012893987100120043,0.4900099443537137,0.07508644392378108,0.013340109538931083,1.3082149314746552,0.2321102327212615,0.02954865515988958,0.9189518493099134,0.06625441765048679,0.015352953300044101,386.2215778323798,0.004364224801514352
backreef,Afareaitu,2005,5_plank,0.03369527215136841,0.0019725048652678144,0.3338118724380323,0.03189907868127274,0.005053592053325637,0.41805040461765136,0.06938808251967221,0.009151649578433911,0.4129276311570531,0.015939741134794613,0.005362548736475145,45.68911139396572,0.0017363011989768497
backreef,Afareaitu,2005,6_carn,0.13618563273922343,0.014094132772321152,0.7500727377689093,0.1031628604640775,0.025479786538081004,1.3290811717326747,0.26579372304740806,0.049525483597558984,1.1663717326521041,0.10530777250195716,0.024761566577026117,307.9138831863448,0.007827955984615219
backreef,Afareaitu,2006,1_detr,0.8614120222833307,0.007759639324593875,26.329150758268728,1.8617519705629073,0.11632460450362908,36.44327308993206,2.832674374699854,0.16195865012727764,11.595506083624494,0.9988457065323332,0.16195865012727764,2015.0815115640075,0
backreef,Afareaitu,2006,2_herb,4.628855996018093,0.04996826328411148,67.76209616438783,4.646438958716702,0.5513207240964635,93.37805509015362,9.920567421834,0.91172996079358,60.64246178272695,3.1083689459618533,0.9092902421814637,9657.565051098578,0
backreef,Afareaitu,2006,3_imix,0.13648930340210938,0.005720429226202721,1.5740859378155427,0.19817637038139901,0.035423325996705814,2.391100028015318,0.36699116121893577,0.05300529120712805,1.9690739213306323,0.21116351820057813,0.04330001029864485,513.0846718710507,0
backreef,Afareaitu,2006,4_cor,0.038721481830926226,0.0020113018541537053,0.24800535602449897,0.04496642815320895,0.007041234686651987,0.5606310593640217,0.08718886758466234,0.01086441948635372,0.42013724410088493,0.034296466907659195,0.00830419008141882,128.85733799853207,0.0023326791086014692
backreef,Afareaitu,2006,5_plank,0.09288628849008515,0.010005410045682436,0.8479356794904876,0.07945153003574348,0.012687747831976355,1.0501587945436297,0.1728259733995297,0.02297649293475606,1.0501587945436297,0.02805080977744459,0.002533854581231311,139.91363340849279,0.004359226376113851
backreef,Afareaitu,2006,6_carn,0.15054181069348446,0.01575115633233861,0.6881673668053728,0.0908227736048478,0.024522853167711973,1.2231946229819821,0.2647344508526467,0.049599404128677894,1.2166747773864137,0.0896308181323379,0.021246132691386914,320.1006151434945,0.009234541133910007
backreef,Afareaitu,2007,1_detr,0.6308268054855399,0.0038160076167384365,19.663417452030927,1.3678557079362152,0.08091316575718434,27.144310821420884,2.0800631370406255,0.11237093159475413,6.5142923088092815,0.5661612084362032,0.11237093159475413,1002.9293052531167,0
backreef,Afareaitu,2007,2_herb,0.21289057639174488,0.002011972374538898,2.009600586850776,0.17342495121352702,0.024494836359555048,3.390635118325025,0.4160447487333491,0.04139355966587377,1.657029569670728,0.11779210646356099,0.041296463840856563,369.12464879813473,0
backreef,Afareaitu,2007,3_imix,0.6112312414973587,0.015124887494498428,8.743974748447686,1.01666279542878,0.20348373981419804,12.893438897446377,1.8572662673361826,0.29867931595511354,12.314799784394609,1.1758888824058003,0.2833956025586877,2402.664504038153,6.688737650363161e-4
backreef,Afareaitu,2007,4_cor,0.08968844566137658,0.004304906912253308,0.3209118484319591,0.05398020116929231,0.009260878983063998,0.9217778014391886,0.15757882204961282,0.021127168204000055,0.7179927311249945,0.06124372488700594,0.01752446577537326,257.9670146829703,0.003059661243100698
backreef,Afareaitu,2007,5_plank,0.017164051606138896,7.772200424556793e-4,0.1726872356134457,0.01668095150949297,0.002631245729646951,0.21759927327597656,0.036285036675702195,0.004764974818294659,0.2141193409836782,0.008971818893290748,0.003333611046452858,22.723031305022612,9.040371812723222e-4
